category,NODE_ID,location,lng,lat,img
bus,100900046,명륜시장.성대후문,126.9952543092,37.5885110529,bus189
bus,100900003,혜화초등학교,126.99985166430001,37.5872532276,bus190
bus,100900072,청련사입구,126.9624312007,37.6079803769,bus191
bus,100900071,영천시장,126.9627388724,37.5700818569,bus192
bus,100900070,명신초.삼선푸르지오.힐스테이트,127.014556281,37.582106206700004,bus193
bus,100900069,감사원,126.9852900569,37.586210651799995,bus194
bus,100900068,중앙중고,126.98696529899999,37.583092177,bus195
bus,100900067,인왕빌딩,126.9577443332,37.6079283311,bus196
bus,100900066,종로4가.종묘공원,126.9946203403,37.5706890289,bus197
bus,100900174,국립민속박물관,126.9795533717,37.5792551846,bus198
bus,100900065,광화문새마을금고,126.97114664909999,37.5793687689,bus199
bus,100900064,새마을금고,126.99651805100001,37.587737061300004,bus200
bus,100900063,혜화우체국,127.0006137149,37.586037656500004,bus201
bus,100900062,언덕앞,126.96379217149999,37.608953975300004,bus202
bus,100900061,경희궁자이4단지,126.9621148375,37.5707022242,bus203
bus,100900060,종로센트레빌후문.e편한세상보문아파트,127.0161855253,37.5817743934,bus204
bus,100900059,사우디대사관앞.경남빌라,126.9850311776,37.5841056738,bus205
bus,100900058,안국선원.삼거리,126.984994076,37.5827909789,bus206
bus,100900182,구기터널입구,126.9567768927,37.6082046142,bus207
bus,100900057,종로3가.1.3.5호선,126.9920931881,37.5710875771,bus208
bus,100900056,경복궁,126.97933775610001,37.576950157,bus209
bus,100900054,소나무집,126.96411046600001,37.6112770717,bus210
bus,100900186,독립문역3번출구,126.9597453483,37.5728784775,bus211
bus,100900053,청룡사.보문파크뷰자이아파트,127.01700714,37.5800189539,bus212
bus,100900052,북촌한옥마을입구.정세권활동터,126.9849422317,37.5815997311,bus213
bus,100900217,종로1.2.3.4가동주민센터,126.99113142559999,37.574383712199996,bus214
bus,100900051,창덕궁,126.99062001530001,37.5760892484,bus215
bus,100900050,아름다운실버,126.965463701,37.6120100581,bus216
bus,100900049,독립문초등학교,126.9607207234,37.5738474794,bus217
bus,100900206,종로센트레빌아파트,127.01569269790001,37.580353440500005,bus218
bus,100900048,가회동주민센터,126.98495432840001,37.579972942,bus219
bus,100900097,구기빌라,126.9579797248,37.6062686142,bus220
bus,100900096,원남로터리,126.997511497,37.5762373738,bus221
bus,100900095,보현산신각,126.96577905209999,37.6134825236,bus222
bus,100900094,천사유치원,126.9618603707,37.5746480221,bus223
bus,100900093,쌍용아파트입구.창신역,127.01496357379999,37.580511226,bus224
bus,100900092,아름다운가게.정독도서관,126.9851271782,37.5789480833,bus225
bus,100900091,산정빌라,126.95749220020001,37.6051519935,bus226
bus,100900090,이화사거리,127.00209146659999,37.5765095598,bus227
bus,100900089,박종화고택입구,126.96768734620001,37.6143102577,bus228
bus,100900088,무악현대아파트후문,126.962001046,37.5763060751,bus229
bus,100900086,헌법재판소.안국역,126.98581521850001,37.5773871956,bus230
bus,100900184,청구빌라,126.9569839726,37.6046102563,bus231
bus,100900085,서울대어린이병원응급실.갑상선센터,126.99950296620001,37.5781188768,bus232
bus,100900083,화인빌라,126.9685386165,37.6129345305,bus233
bus,100900082,넓은마당,126.9628880463,37.5752728058,bus234
bus,100900207,창신초등학교,127.0153885503,37.5769032044,bus235
bus,100900081,수운회관,126.986669266,37.5752189424,bus236
bus,100900080,상명대후문,126.9573354115,37.6040255786,bus237
bus,100900079,힐탑,126.9690205751,37.6116055569,bus238
bus,100900187,신학대학교총회본부,126.96344456690001,37.5739763092,bus239
bus,100900078,낙원상가,126.98741487219999,37.5737563689,bus240
bus,100900077,완성빌라,126.9575011241,37.6034020863,bus241
bus,100900076,서울대병원장례식장,126.99743096479999,37.5805553988,bus242
bus,100900075,혜화역1번출구,127.00184541739999,37.5834855091,bus243
bus,100900074,감나무골공원,126.9699479367,37.6124059606,bus244
bus,100900073,한국사회과학자료원,126.9641432573,37.573633207600004,bus245
bus,100900205,동묘역,127.01424538190001,37.5726943506,bus246
bus,100900121,금강제화,126.98754841370001,37.5705713654,bus247
bus,100900120,경진빌라,126.95783036120001,37.6020037175,bus248
bus,100900198,성균관대학교앞,126.9993359079,37.5832597848,bus249
bus,100000416,청와대,126.973768082,37.5829712951,bus250
