Name,Artist,Key,BPM
Oklahoma Smokeshow,Zach Bryan,E Minor,152
Wherever I Go,Brent Faiyaz,A Minor,142
Do I look like a Monster?,Hangsung,A Major,95
Reminiscence,CHAD BURGER,C Minor,170
CRUSH,"Sky Rompiendo, Dei V",D♭ Minor,126
Do It Again,Steely Dan,D Minor,125
세월이 가면 (원곡가수 최호섭),Byun Jin-Sub,D Major,135
How Are You?,Dylan Brady,D♭ Major,139
LIME (I'm So),Baek A Yeon,D♭ Major,126
It can't be like that,Jeon Sang Keun,E♭ Major,134
Screamin' (Feat. Lil Poet),"Coco Frankie, Lil Poet",D Major,90
마지막 첫사랑 My First and Last,NCT DREAM,D Major,108
Distance,"Car, the garden",E Minor,100
BOYLOVE (feat. gyuahh),"LauRel, gyuahh",B♭ Minor,128
keep our mind,The Riff,A♭ Major,130
안부 (feat. Osshun Gum),"Kuny, Osshun Gum",B♭ Major,143
Trash (Feat. Han Yo Han),"Ourealgoat, 한요한",E♭ Minor,140
Don't Worry Be Happy,Bobby McFerrin,B Major,69
Golden Haze,Wild Nothing,A♭ Major,78
BBQ!,"Gxldxn Fxnch, Dom Phenom, Michael Aaron Elson",F♯ Major,145
Espresso Martini,Subway Rat,E Minor,114
Brachiosaurus,Pinkfong,D♭ Minor,113
The affair,Nahee Kim,D Minor,78
Start To Shine (feat. Gaeko),"Gyubin, Gaeko",G Minor,103
What's wrong(Feat. SURAN),"HAAN, JUNE, SURAN",F Minor,162
OUR STORY,CMDM,B♭ Minor,100
사랑에 끝이 있다면,Hwang Si-Yeon,F Major,138
Deep In Love,KB Mike,G Major,120
"NO WHERE, NOW HERE",Rothy,F♯ Major,65
어디까지 간 거야,"Chan, BAN ESTIN",E Major,92
More Than Me,JUNE,C Major,144
키치죠지의 검은 고양이,DELISPICE,A♭ Major,122
호접몽,최민지,G Major,82
Night and Day,Jung Seung Hwan,C Major,108
My Sea,Kassy,A Major,84
Wannabe,Spice Girls,B Major,110
술 한잔 해요,"경서, MJ",G Major,76
Jump - 2015 Remaster,Van Halen,C Major,130
ナイト・オブ・ナイツ,BEAT MARIO,D Major,180
Hero,Juliera,A♭ Major,108
그렇게 우린 멀어지겠죠,morning coffee,B Major,116
Slow Dancing,V,A♭ Major,156
Savior (feat. B.I),"LeeHi, B.I",B♭ Minor,95
누구보다 널 사랑해,Bijou,B Major,137
사랑 참,HONGJA,B Minor,70
Spirit In The Sky,Norman Greenbaum,A Major,129
Glowing,Ilumina,A Major,125
Old Ways,OLI,D♭ Minor,140
Let it go (Feat. Skinny Brown),"Jhnovr, Skinny Brown",F Minor,95
Do you want to walk with me? (Romance 101 X Jukjae),Jukjae,G Major,67
Everything's Fine (Nuke Song),Roe Kapara,E Major,145
Those Lips,NickelSack,C Major,108
I Need a Love,Lim Sa Rang,D♭ Major,130
Dream on a summer night,Sandy,D♭ Major,136
Look at me SEALOOK(씰룩),RIIZE,G Major,139
별빛이 피면 Star Blossom,"DOYOUNG, KIMSEJEONG",E Major,125
You Still With Me,JunSung,D Major,88
Alone,JuJu Secret,E♭ Major,144
ICARUS,DINO (SEVENTEEN),D Major,190
Lean On You,Jung Yup,F♯ Major,84
Behavior (feat. ron) - pac odd Remix,"default, ron, Pac Odd",F Major,120
너와 나는 한편의 그림이었지,Yoo Jiwoo,A Major,140
Unstable Mind,양주은,G Major,128
How Can I Forget You,Noel,F Major,132
Wonder Woman,John Legend,F♯ Major,138
Flowering,SOOJIN,G Minor,128
패러글라이딩 Paragliding,Electriceels,G Major,103
너의 뒤에서,Sung Si Kyung,E Minor,84
Melted,"AKMU, 로빈, 이찬혁, LEE SUHYUN",D Minor,123
Namanje - String ver.,Yi Sung Yol,F♯ Major,110
Let Go of Love,Lim So Jeong,E♭ Major,135
One Two Three,Xydo,F♯ Major,101
Good Good,"USHER, Summer Walker, 21 Savage",G Minor,141
A Dream To Bloom In Spring,Acoustic Ano,D Major,85
House of light,Lyn,B♭ Major,143
Tears (feat.Eugene of THE SEEYA),Leessang,B Major,98
What should I catch when love leaves (Feat. Trade L),"Lee Dong Hyeun, TRADE L",C Major,174
All Except for Wedding,Zia,A Major,142
사랑이 떠나가네 (섹시한 오빠 안성현) - Live,An Seonghyeon,F Minor,123
라라라,SG Wannabe,C Major,198
"Goodbye, and Goodbye",Baek A,A♭ Major,111
Can I (Korean Ver.),LEE JUNHO,G Major,110
Standing Next to You,Jung Kook,D Minor,106
Love fell on me (Prod. Kwon Soonkwan of no reply),Ku One Chan,F Major,146
Love is,Kei,B Major,64
Wanna Be (feat. A. Train & Yung Blesh),"whyz, A. Train, Yung Blesh",E♭ Minor,140
